co2_value,Category
372.41,Satisfactory
372.72,Satisfactory
372.01,Satisfactory
371.07,Satisfactory
372.84,Satisfactory
373.04,Satisfactory
372.49,Satisfactory
372.09,Satisfactory
372.36,Satisfactory
372.5,Satisfactory
372.68,Satisfactory
372.67,Satisfactory
372.39,Satisfactory
372.6,Satisfactory
372.86,Satisfactory
373.79,Satisfactory
375.36,Satisfactory
374.07,Satisfactory
373.48,Satisfactory
373.1,Satisfactory
373.34,Satisfactory
373.66,Satisfactory
373.51,Satisfactory
373.51,Satisfactory
373.91,Satisfactory
373.98,Satisfactory
374.02,Satisfactory
373.87,Satisfactory
373.42,Satisfactory
373.41,Satisfactory
373.9,Satisfactory
373.62,Satisfactory
373.4,Satisfactory
373.58,Satisfactory
373.67,Satisfactory
372.51,Satisfactory
374.14,Satisfactory
373.76,Satisfactory
373.69,Satisfactory
373.99,Satisfactory
373.89,Satisfactory
373.93,Satisfactory
373.84,Satisfactory
374.08,Satisfactory
374.46,Satisfactory
374.05,Satisfactory
373,Satisfactory
373.8,Satisfactory
374.12,Satisfactory
373.51,Satisfactory
373.57,Satisfactory
374.05,Satisfactory
374.25,Satisfactory
373.89,Satisfactory
373.8,Satisfactory
374.24,Satisfactory
374.06,Satisfactory
374.23,Satisfactory
374.23,Satisfactory
373.79,Satisfactory
373.85,Satisfactory
373.27,Satisfactory
373.68,Satisfactory
374.42,Satisfactory
373.89,Satisfactory
374.16,Satisfactory
373.21,Satisfactory
373.13,Satisfactory
372.94,Satisfactory
372.99,Satisfactory
373.52,Satisfactory
373.02,Satisfactory
372.86,Satisfactory
372.86,Satisfactory
372.79,Satisfactory
372.69,Satisfactory
373.54,Satisfactory
373.34,Satisfactory
373.12,Satisfactory
373.24,Satisfactory
373.06,Satisfactory
373.23,Satisfactory
373.02,Satisfactory
373.05,Satisfactory
373.12,Satisfactory
373.12,Satisfactory
372.92,Satisfactory
372.65,Satisfactory
372.64,Satisfactory
372.71,Satisfactory
372.71,Satisfactory
372.6,Satisfactory
372.7,Satisfactory
372.35,Satisfactory
371.66,Satisfactory
371.67,Satisfactory
370.98,Satisfactory
371.09,Satisfactory
371.62,Satisfactory
371.61,Satisfactory
371.8,Satisfactory
371.91,Satisfactory
372.05,Satisfactory
371.06,Satisfactory
369.22,Satisfactory
371.66,Satisfactory
371.4,Satisfactory
370.57,Satisfactory
371.53,Satisfactory
370.25,Satisfactory
370.77,Satisfactory
371.22,Satisfactory
371.07,Satisfactory
371.21,Satisfactory
370.2,Satisfactory
